id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
22549221,Private Quiet bed/bath/office; food prep appliance,6555530,Phyllis,,Outer Mission,37.73212,-122.44669,Private room,100,30,1,13/08/2023,0.14,3,168,1,
1.02439E+18,Very Spacious One Bedroom + Bathroom.  Room C,503273535,Janny,,Outer Mission,37.73257,-122.44891,Private room,70,30,0,,,6,75,0,2023-002634STR
39110674,San Francisco's Cole Valley Jewel,91498511,Karen,,Haight Ashbury,37.76788,-122.4475,Entire home/apt,,30,0,,,1,0,0,
8.88981E+17,Stunning Panoramic Skyline Views,514244961,J J,,Russian Hill,37.80044,-122.42042,Entire home/apt,224,30,1,08/09/2023,0.16,1,57,1,
1.01607E+18,"Chic/Cozy, the Heart of Nob Hill",870172,Michael,,Nob Hill,37.79538,-122.41882,Entire home/apt,71,30,0,,,4,144,0,
12041358,Beautiful Victorian : Bed/Bath,3588642,Ambrish,,Noe Valley,37.75223,-122.44055,Private room,82,30,12,31/10/2023,0.13,2,341,2,City Registration Pending (1010281)
23684260,"All yours, a loved home in Bernal.",24053387,Annelise,,Bernal Heights,37.74662,-122.41717,Entire home/apt,,30,9,03/01/2020,0.13,1,0,0,STR-0003962
1.08326E+18,Downtown Charming Hotel at SanFo,520931919,Chris,,Western Addition,37.78921,-122.42248,Private room,150,2,0,,,379,365,0,Exempt
9.65421E+17,Bernal loft retreat with sweeping views of SF,71975,Oscar,,Bernal Heights,37.74560098,-122.4179936,Private room,125,1,5,02/03/2024,1.15,5,332,5,2023-008641STR
39415485,Private room in spacious Hayes Valley condo,6229402,Christian,,Western Addition,37.77596,-122.43028,Private room,169,7,8,18/06/2023,0.4,2,332,3,STR-0005533
326650,Lovely beautiful Apt Pac Fillmore,1670339,Michele,,Western Addition,37.78457,-122.43177,Entire home/apt,189,30,32,07/08/2015,0.22,2,365,0,
1.07868E+18,Popular place at the heart of SF,542041520,Allen,,Western Addition,37.7877164,-122.4227082,Private room,150,2,0,,,342,365,0,Exempt
1.07959E+18,Charming room at SFDownTown,542041520,Allen,,Western Addition,37.78775522,-122.4225554,Private room,150,2,0,,,342,270,0,Exempt
5.47731E+17,Metallica Themed Room with Shared Restroom,102523118,Music City,,Nob Hill,37.7892,-122.41835,Private room,102,1,3,23/08/2023,0.15,11,320,1,STR-0000000
35494371,Janis Joplin Themed Room with Private Bathroom,102523118,Music City,,Downtown/Civic Center,37.78856,-122.41952,Hotel room,121,1,9,02/10/2023,0.16,11,331,1,Exempt
